CSRTSV3  2021-05-03 09:43:23.976| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=Dynamic: <cmp>CmpKLog2RepSys</cmp>, <id>0x100b0016</id> <ver>4.3.2.3</ver>
RepSys   2021-05-03 09:43:24.612| ReportSystem BEGIN init
RepSys   2021-05-03 09:43:24.828| --------
RepSys   2021-05-03 09:43:24.828| "UOS.Root-Task" 3468001c
RepSys   2021-05-03 09:43:24.828| INFO Ackn (4700/24) 00000000
RepSys   2021-05-03 09:43:24.828| uos.cfg(2,22): entry 'systemTraceEventMask' exists, overwritten
RepSys   2021-05-03 09:43:24.828| --------
RepSys   2021-05-03 09:43:24.828| --------
RepSys   2021-05-03 09:43:24.828| "UOS.Root-Task" 3468001c
RepSys   2021-05-03 09:43:24.828| INFO Ackn (4700/24) 00000000
RepSys   2021-05-03 09:43:24.828| system.cfg(77,15): entry 'motionControl' exists, overwritten
RepSys   2021-05-03 09:43:24.828| --------
RepSys   2021-05-03 09:43:24.829| --------
RepSys   2021-05-03 09:43:24.829| "UOS.Root-Task" 3468001c
RepSys   2021-05-03 09:43:24.829| INFO Ackn (4700/24) 00000000
RepSys   2021-05-03 09:43:24.829| system.cfg(78,14): entry 'teachControl' exists, overwritten
RepSys   2021-05-03 09:43:24.829| --------
UOS      2021-05-03 09:43:24.830| CREATE Task "RepSys.PCallTask" 38880f9a(4730)
RepSys   2021-05-03 09:43:24.830| ReportSystem END init, ok, t = 0.22s
RepSys   2021-05-03 09:43:26.081| --------
RepSys   2021-05-03 09:43:26.081| "TC.Compiler-Task" 10e82154
RepSys   2021-05-03 09:43:26.081| INFO Ackn (3700/150) 00000000
RepSys   2021-05-03 09:43:26.081| Project _base.tt / Pass 1
RepSys   2021-05-03 09:43:26.081| --------
RepSys   2021-05-03 09:43:29.555| --------
RepSys   2021-05-03 09:43:29.555| "TC.Compiler-Task" 10e82154
RepSys   2021-05-03 09:43:29.555| INFO Ackn (3700/150) 00000000
RepSys   2021-05-03 09:43:29.555| Project _base.tt / Pass 2
RepSys   2021-05-03 09:43:29.555| --------
RepSys   2021-05-03 09:43:31.587| --------
RepSys   2021-05-03 09:43:31.587| "TC.Compiler-Task" 10e82154
RepSys   2021-05-03 09:43:31.587| INFO Ackn (3700/152) 00000000
RepSys   2021-05-03 09:43:31.587| 351 files compiled
