DevSvc   2021-05-03 09:43:14.194| No MachineSoftware Update configured
######################### control-plcrt #########################
DevSvc   2021-05-03 09:43:19.549| configure civetweb
DevSvc   2021-05-03 09:43:19.592| kernel soft and hard lockup thresholds: configure hard lockup threshold to 3
DevSvc   2021-05-03 09:43:19.601| ftrace: set /sys/kernel/debug/tracing/events/irq/enable
DevSvc   2021-05-03 09:43:19.601| ftrace: set /sys/kernel/debug/tracing/events/ktick/enable
DevSvc   2021-05-03 09:43:19.602| ftrace: set /sys/kernel/debug/tracing/events/sched/enable
DevSvc   2021-05-03 09:43:19.602| ftrace: set /sys/kernel/debug/tracing/events/watchdog/enable
DevSvc   2021-05-03 09:43:19.621| BaseLib heap size is 419430400
Ctrl     2021-05-03 09:43:19.717| Initializing instance 0, pipe /tmp/CtrlCmd_FIFO.0
Ctrl     2021-05-03 09:43:19.718| Starting CtrlPipeHandler
Ctrl     2021-05-03 09:43:19.833| Loading libBulkDataBaseLib.so.0 OK, address 0xb7204000
Ctrl     2021-05-03 09:43:20.802| Loading libMemoryPrioLock.so.0 OK, address 0x9e1c0000
Ctrl     2021-05-03 09:43:20.812| Loading libKSEH.so.0 OK, address 0xb771a000
DevSvc   2021-05-03 09:43:20.822| Setting up KSEH... done.
Ctrl     2021-05-03 09:43:20.832| Loading libvDSOclock.so.0 OK, address 0xb7715000
DevSvc   2021-05-03 09:43:20.842| Setting up vDSO... done. Using fast clock functions now.
Ctrl     2021-05-03 09:43:21.280| Loading libK2Ctrl.so OK, address 0x9cfb4000
DevSvc   2021-05-03 09:43:22.411| UOS uses platform specific clock functions.
UOS      2021-05-03 09:43:22.434| UOS BEGIN init
UOS      2021-05-03 09:43:22.434| Using OS-specific time.
UOS      2021-05-03 09:43:22.434| Using OS-specific functions for tickwait cycles.
UOS      2021-05-03 09:43:22.434| CREATE Task "UOS.Intr-Task" 43e80024(4298)
UOS      2021-05-03 09:43:22.435| CREATE Task "UOS.Output_task" 4d980029(0)
UOS      2021-05-03 09:43:22.437| UOS END init
UOS      2021-05-03 09:43:22.437| CREATE Task "SLx.WatchTimeChange" 5368002c(0)
VarSv    2021-05-03 09:43:22.507| VarSvr_3.20.0 BEGIN init
VarSv    2021-05-03 09:43:22.510| VarSvr_3.20.0 END init, ok, t = 0.01s
Cfg      2021-05-03 09:43:22.553| CfgAnalyser BEGIN init
Cfg      2021-05-03 09:43:22.554| CfgAnalyser END init, ok
UOS      2021-05-03 09:43:22.632| CREATE Task "CFG.PCallTask" 2f980e09(4358)
UOS      2021-05-03 09:43:22.633| CREATE Task "UOS.Rpc-Task" 48c80e16(4359)
UOS      2021-05-03 09:43:22.635| CREATE Task "UOS.CmdLine-Task" 79380e2f(4360)
SLx      2021-05-03 09:43:22.635| StartupLinux BEGIN init
SLx      2021-05-03 09:43:22.636| ##### control-plcrt_3.2.2 #####
SLx      2021-05-03 09:43:22.636| StartupLinux END init, t = 0.00s
UOS      2021-05-03 09:43:22.636| CREATE Task "SLx.Root-Task" 02e80e34(0)
DevSvc   2021-05-03 09:43:22.686| Searching for C-FB libaries in /opt/kecontrolapplication/application/control/ccontrol/
DevSvc   2021-05-03 09:43:22.687| libsepro-periph.so.0.1.1.RC-17338...
DevSvc   2021-05-03 09:43:22.769| libsepro-periph.so...
DevSvc   2021-05-03 09:43:23.393| Setting CoDeSys TargetID for Device (Ordernumber=106049) to 0360
Ctrl     2021-05-03 09:43:23.767| Loading /opt/codesys/v3/lib/libcodesyscontrol_shared.so OK, address 0x9bf66000
UOS      2021-05-03 09:43:23.777| CREATE Task "CoDeSys.Root-Task" 08b80e37(0)
KSAreaV3 2021-05-03 09:43:23.826| Info: Mapping of /dev/I (16384 bytes) to 0x9BE87000
KSAreaV3 2021-05-03 09:43:23.827| Info: Mapping of /dev/Q (16384 bytes) to 0x9BE83000
KSAreaV3 2021-05-03 09:43:23.827| Info: Mapping of /dev/M (16384 bytes) to 0x9BE7F000
KSTarV3  2021-05-03 09:43:23.827| CoDeSysControl target id is 0360
CSRTSV3  2021-05-03 09:43:23.967| ============================================================================================================================
CSRTSV3  2021-05-03 09:43:23.967| Cmp=CM, Class=1, Error=0, Info=4, pszInfo=CoDeSysRT
CSRTSV3  2021-05-03 09:43:23.967| Cmp=CM, Class=1, Error=0, Info=4, pszInfo=OS=Linux, CPU=x86, Arch=32Bit, Coding=C
CSRTSV3  2021-05-03 09:43:23.967| Cmp=CM, Class=1, Error=0, Info=6, pszInfo=<version>3.5.16.20</version> <builddate>Dec 11 2020</builddate>
CSRTSV3  2021-05-03 09:43:23.967| Cmp=CM, Class=1, Error=0, Info=5, pszInfo=Copyright (c) 3S - Smart Software Solutions GmbH
CSRTSV3  2021-05-03 09:43:23.967| ============================================================================================================================
CSRTSV3  2021-05-03 09:43:23.967| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>CM</cmp>, <id>0x00000001</id> <ver>3.5.16.20</ver>
CSRTSV3  2021-05-03 09:43:23.967| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>CmpMemPool</cmp>, <id>0x0000001e</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.967| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>CmpLog</cmp>, <id>0x00000013</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>CmpSettings</cmp>, <id>0x0000001a</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysFile</cmp>, <id>0x00000104</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysCom</cmp>, <id>0x00000100</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysCpuHandling</cmp>, <id>0x00000101</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysDir</cmp>, <id>0x0000011b</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysEthernet</cmp>, <id>0x0000011c</id> <ver>3.5.16.10</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysEvent</cmp>, <id>0x00000102</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysExcept</cmp>, <id>0x00000103</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysFileStream</cmp>, <id>0x00000120</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysInternalLib</cmp>, <id>0x00000107</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysMem</cmp>, <id>0x00000108</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.968| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysModule</cmp>, <id>0x00000109</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysMsgQ</cmp>, <id>0x0000010a</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysMutex</cmp>, <id>0x0000013a</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysOut</cmp>, <id>0x0000010b</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysProcess</cmp>, <id>0x0000010e</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysSem</cmp>, <id>0x0000010f</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysSemCount</cmp>, <id>0x00000139</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysSemProcess</cmp>, <id>0x00000119</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysShm</cmp>, <id>0x00000110</id> <ver>3.5.16.0</ver>
CSRTSV3  2021-05-03 09:43:23.969| Cmp=CM, Class=1, Error=0, Info=10, pszInfo=System: <cmp>SysSocket</cmp>, <id>0x00000111</id> <ver>3.5.16.10</ver>
